glimpses,val_accuracy,inference_time
2,0.6579861111111112,0.2690358018493652
4,0.6432291666666666,0.4986642491149902
6,0.6597222222222222,0.7310561111450194
8,0.6631944444444444,0.8363310742187499
12,0.6484375,0.3893807019042969
